No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
1,50 GeV-2 TeV (Fermi),6.46e-12,1.7e-12,1.7e-12,erg/cm^2/s,2.48000001128567e+26,2.60483869782365e-15,6.85483867848329e-16,6.85483867848329e-16,,,646000000000.0,170000000000.0,170000000000.0,,,Fermi,LAT,1.025,TeV,flux integrated from map or image,2016ApJS..222....5A
2,0.01-1 TeV (Fermi),2.66e-11,2.95e-12,2.95e-12,erg/cm^2/s,1.22000004571812e+26,2.18032778714714e-14,2.41803269627221e-15,2.41803269627221e-15,,,2660000000000.0,295000000000.0,295000000000.0,,,Fermi,LAT,0.51,TeV,from fitting to map,2017ApJS..232...18A
3,100 MeV-100 GeV LAT,3.16e-11,3.1e-12,3.1e-12,erg/cm^2/s,1.2099999965805e+25,2.61157025531427e-13,2.56198347831463e-14,2.56198347831463e-14,,,3160000000000.0,310000000000.0,310000000000.0,,,Fermi,LAT,50050.0,MeV,from fitting to map,2010ApJS..188..405A
4,0.1-100 GeV (Fermi),2.839e-10,3.4e-12,3.4e-12,erg/cm^2/s,1.20999999658047e+25,2.34628099836626e-12,2.80991736331289e-23,2.80991736331289e-23,,,28390000000000.0,340.0,340.0,,,Fermi,LAT,50.05,GeV,from fitting to map,2015ApJS..218...23A
5,0.1-100 GeV (Fermi),3.729e-10,5.9e-12,5.9e-12,erg/cm^2/s,1.20999999658047e+25,3.08181819052758e-12,4.87603307163119e-14,4.87603307163119e-14,,,37290000000000.0,590000000000.0,590000000000.0,,,Fermi,LAT,50.05,GeV,modelled datum,2012ApJS..199...31N
6,EGRET (0.1-5 GeV),3.111e-11,4.76e-12,4.76e-12,Jy,6.16999994e+23,3.111e-11,4.76e-12,4.76e-12,,,19194869813340.0,2936919971440.0,2936919971440.0,,,Compton Gamma Ray Obs,EGRET,2.55,GeV,flux integrated from map or image,1995ApJS..101..259T
7,14-195 keV (Swift),2.45e-11,2.163e-11,2.163e-11,erg/cm^2/s,2.53000000496374e+19,9.68379444740402e-08,8.54940709785097e-08,8.54940709785097e-08,,,2450000000000.0,2163000000000.0,2163000000000.0,,,Swift,BAT,104.5,keV,from fitting to map,2018ApJS..235....4O
8,14-195 keV (Swift),2.25e-11,,,erg/cm^2/s,2.53000000496374e+19,8.89328061496287e-08,,,,,2250000000000.0,,,,,Swift,BAT,104.5,keV,modelled datum,2017ApJS..233...17R
9,14-195 keV (Swift),1.91e-11,,,erg/cm^2/s,2.53000000496374e+19,7.54940709981293e-08,,,,,1910000000000.0,,,,,Swift,BAT,104.5,keV,modelled datum,2017ApJS..233...17R
10,15-150 keV (Swift),1.7e-11,9.7e-12,9.7e-12,erg/cm^2/s,1.9899999378467e+19,8.54271383465219e-08,4.87437201153684e-08,4.87437201153684e-08,,,1700000000000.0,970000000000.0,970000000000.0,,,Swift,BAT,82.5,keV,modelled datum,2010A&A...524A..64C
11,14-150 keV (Swift),1.67e-11,,,erg/cm^2/s,1.98000009949437e+19,8.43434301052038e-08,,,,,1670000000000.0,,,,,Swift,BAT,82.0,keV,modelled datum,2017ApJS..233...17R
12,20-100 keV INTEGRAL,1.64e-11,,,erg/cm^2/s,1.44999998068076e+19,1.13103449782809e-07,,,,,1640000000000.0,,,,,INTEGRAL,IBIS,60.0,keV,flux integrated from map or image,2016MNRAS.460...19M
13,15-55 keV (Swift),9.5e-12,1.8e-12,1.8e-12,erg/cm^2/s,8.4599998053876e+18,1.1229314679121e-07,2.12765962341241e-08,2.12765962341241e-08,,,950000000000.0,180000000000.0,180000000000.0,,,Swift,BAT,35.0,keV,flux integrated from map or image,2009ApJ...699..603A
14,20-50 keV (Swift),6.7e-12,,,erg/cm^2/s,8.45999980538757e+18,7.91962193159065e-08,,,,,670000000000.0,,,,,Swift,BAT,35.0,keV,modelled datum,2017ApJS..233...17R
15,2-10 keV (Swift),3e-12,,,erg/cm^2/s,1.45000006314413e+18,2.06896542714274e-07,,,,,300000000000.0,,,,,Swift,BAT,6.0,keV,modelled datum,2017ApJS..233...17R
16,2-10 keV (Swift),8.3e-12,,,erg/cm^2/s,1.45000006314413e+18,5.72413768176159e-07,,,,,830000000000.0,,,,,Swift,XRT,6.0,keV,flux integrated from map or image,2016MNRAS.460...19M
17,2-10 keV (Swift),3e-12,,,erg/cm^2/s,1.45000006314413e+18,2.06896542714274e-07,,,,,300000000000.0,,,,,Swift,BAT,6.0,keV,modelled datum,2017ApJS..233...17R
18,0.3-10 keV (Swift),5.5e-12,,,erg/cm^2/s,1.23999993930868e+18,4.43548408806079e-07,,,,,550000000000.0,,,,,Swift,XRT,5.15,keV,modelled datum,2011A&A...534A..86T
19,0.3-8 keV (Chandra),4.34e-12,,,erg/cm^2/s,9.99999984306749e+17,4.34000006810871e-07,,,,,434000000000.0,,,,,Chandra,"ACIS-I, ACIS-S",4.15,keV,flux integrated from map or image,2016ApJS..224...40W
20,2-7 keV Chandra,2.4555e-12,5.6226e-14,5.6226e-14,erg/cm^2/s,9.18835911992269e+17,2.67239394328806e-07,6.11930959181676e-09,6.11930959181676e-09,,,245549152608.37,5622641409.55999,5622641409.55999,,,Chandra,"ACIS, HRC-I",3.8,keV,from fitting to map,2020CSC...C2..0000:
21,2-7 keV Chandra,2.4555e-12,5.6226e-14,5.6226e-14,erg/cm^2/s,9.18835911992269e+17,2.67239394328806e-07,6.11930959181676e-09,6.11930959181676e-09,,,245549152608.37,5622641409.55999,5622641409.55999,,,Chandra,"ACIS, HRC-I",3.8,keV,from fitting to map,2020CSC...C2..0000:
22,2-7 keV Chandra,2.474e-12,5.9461e-14,5.9461e-14,erg/cm^2/s,9.18835911992269e+17,2.69250121772517e-07,6.4712912153242e-09,6.4712912153242e-09,,,247396681192.88,5946054765.59997,5946054765.59997,,,Chandra,"ACIS, HRC-I",3.8,keV,flux in fixed aperture,2020CSC...C2..0000:
23,2-7 keV Chandra,2.474e-12,5.9461e-14,5.9461e-14,erg/cm^2/s,9.18835911992269e+17,2.69250121772517e-07,6.4712912153242e-09,6.4712912153242e-09,,,247396681192.88,5946054765.59997,5946054765.59997,,,Chandra,"ACIS, HRC-I",3.8,keV,flux in fixed aperture,2020CSC...C2..0000:
24,0.5-7 keV Chandra,3.4028e-12,4.9425e-14,4.9425e-14,erg/cm^2/s,5.56137525679531e+17,6.11864283374601e-07,8.88726772184784e-09,8.88726772184784e-09,,,340280688607.63,4942543080.88002,4942543080.88002,,,Chandra,"ACIS, HRC-I",2.3,keV,from fitting to map,2020CSC...C2..0000:
25,0.5-7 keV Chandra,3.4494e-12,4.8336e-14,4.8336e-14,erg/cm^2/s,5.56137525679531e+17,6.20240504763075e-07,8.69142189307213e-09,8.69142189307213e-09,,,344939019645.16,4833625866.25004,4833625866.25004,,,Chandra,"ACIS, HRC-I",2.3,keV,flux in fixed aperture,2020CSC...C2..0000:
26,0.5-7 keV Chandra,3.4494e-12,4.8336e-14,4.8336e-14,erg/cm^2/s,5.56137525679531e+17,6.20240504763075e-07,8.69142189307213e-09,8.69142189307213e-09,,,344939019645.16,4833625866.25004,4833625866.25004,,,Chandra,"ACIS, HRC-I",2.3,keV,flux in fixed aperture,2020CSC...C2..0000:
27,0.5-7 keV Chandra,3.4028e-12,4.9425e-14,4.9425e-14,erg/cm^2/s,5.56137525679531e+17,6.11864283374601e-07,8.88726772184784e-09,8.88726772184784e-09,,,340280688607.63,4942543080.88002,4942543080.88002,,,Chandra,"ACIS, HRC-I",2.3,keV,from fitting to map,2020CSC...C2..0000:
28,1.2-2 keV Chandra,5.0835e-13,1.2544e-14,1.2544e-14,erg/cm^2/s,3.77206321765247e+17,1.34766190648498e-07,3.32544637250448e-09,3.32544637250448e-09,,,50834659072.834,1254379394.4,1254379394.4,,,Chandra,"ACIS, HRC-I",1.56,keV,flux in fixed aperture,2020CSC...C2..0000:
29,1.2-2 keV Chandra,5.0847e-13,1.2998e-14,1.2998e-14,erg/cm^2/s,3.77206321765247e+17,1.3479862585527e-07,3.44586268394493e-09,3.44586268394493e-09,,,50846893837.876,1299801188.31899,1299801188.31899,,,Chandra,"ACIS, HRC-I",1.56,keV,from fitting to map,2020CSC...C2..0000:
30,1.2-2 keV Chandra,5.0847e-13,1.2998e-14,1.2998e-14,erg/cm^2/s,3.77206321765247e+17,1.3479862585527e-07,3.44586268394493e-09,3.44586268394493e-09,,,50846893837.876,1299801188.31899,1299801188.31899,,,Chandra,"ACIS, HRC-I",1.56,keV,from fitting to map,2020CSC...C2..0000:
31,1.2-2 keV Chandra,5.0835e-13,1.2544e-14,1.2544e-14,erg/cm^2/s,3.77206321765247e+17,1.34766190648498e-07,3.32544637250448e-09,3.32544637250448e-09,,,50834659072.834,1254379394.4,1254379394.4,,,Chandra,"ACIS, HRC-I",1.56,keV,flux in fixed aperture,2020CSC...C2..0000:
32,0.1-2.4 keV (Swift),1.97e-12,,,erg/cm^2/s,3.0200000694295e+17,6.52317865797979e-07,,,,,197000000000.0,,,,,Swift,BAT,1.25,keV,flux integrated from map or image,2010A&A...520A..47M
33,0.1-2.4 keV (ROSAT),1.966e-12,,,erg/cm^2/s,3.0200000694295e+17,6.50993362517171e-07,,,,,196600000000.0,,,,,ROSAT,?,1.25,keV,not reported in paper,2009A&A...495..691M
34,0.1-2.4 keV (RASS),3.82e-12,,,erg/cm^2/s,3.02000006942949e+17,1.26490063317172e-06,,,,,382000000000.0,,,,,ROSAT,?,1.25,keV,not reported in paper,2015ApJ...810...14A
35,0.5-1.2 keV Chandra,5.0713e-13,1.2186e-14,1.2186e-14,erg/cm^2/s,2.22455010271813e+17,2.27970933772926e-07,5.47791089637422e-09,5.47791089637422e-09,,,50713276414.131,1218588724.721,1218588724.721,,,Chandra,"ACIS, HRC-I",0.92,keV,from fitting to map,2020CSC...C2..0000:
36,0.5-1.2 keV Chandra,5.1073e-13,1.1592e-14,1.1592e-14,erg/cm^2/s,2.22455010271813e+17,2.29586723557588e-07,5.21114774789988e-09,5.21114774789988e-09,,,51072716947.275,1159245925.787,1159245925.787,,,Chandra,"ACIS, HRC-I",0.92,keV,flux in fixed aperture,2020CSC...C2..0000:
37,0.5-1.2 keV Chandra,5.1073e-13,1.1592e-14,1.1592e-14,erg/cm^2/s,2.22455010271813e+17,2.29586723557588e-07,5.21114774789988e-09,5.21114774789988e-09,,,51072716947.275,1159245925.787,1159245925.787,,,Chandra,"ACIS, HRC-I",0.92,keV,flux in fixed aperture,2020CSC...C2..0000:
38,0.5-1.2 keV Chandra,5.0713e-13,1.2186e-14,1.2186e-14,erg/cm^2/s,2.22455010271813e+17,2.27970933772926e-07,5.47791089637422e-09,5.47791089637422e-09,,,50713276414.131,1218588724.721,1218588724.721,,,Chandra,"ACIS, HRC-I",0.92,keV,from fitting to map,2020CSC...C2..0000:
39,0.2-0.5 keV Chandra,4.409e-13,1.7019e-14,1.7019e-14,erg/cm^2/s,9.67195696833967e+16,4.558492563736e-07,1.75966995292491e-08,1.75966995292491e-08,,,44089543916.951,1701945206.317,1701945206.317,,,Chandra,"ACIS, HRC-I",0.4,keV,flux in fixed aperture,2020CSC...C2..0000:
40,0.2-0.5 keV Chandra,4.194e-13,1.7353e-14,1.7353e-14,erg/cm^2/s,9.67195696833967e+16,4.33620942376861e-07,1.79418664396404e-08,1.79418664396404e-08,,,41939630952.399,1735329601.359,1735329601.359,,,Chandra,"ACIS, HRC-I",0.4,keV,from fitting to map,2020CSC...C2..0000:
41,0.2-0.5 keV Chandra,4.194e-13,1.7353e-14,1.7353e-14,erg/cm^2/s,9.67195696833967e+16,4.33620942376861e-07,1.79418664396404e-08,1.79418664396404e-08,,,41939630952.399,1735329601.359,1735329601.359,,,Chandra,"ACIS, HRC-I",0.4,keV,from fitting to map,2020CSC...C2..0000:
42,0.2-0.5 keV Chandra,4.409e-13,1.7019e-14,1.7019e-14,erg/cm^2/s,9.67195696833967e+16,4.558492563736e-07,1.75966995292491e-08,1.75966995292491e-08,,,44089543916.951,1701945206.317,1701945206.317,,,Chandra,"ACIS, HRC-I",0.4,keV,flux in fixed aperture,2020CSC...C2..0000:
43,u (SDSS PSF) AB,16.1,0.037,0.037,asinh mag,836000016000000.0,0.001367715,4.660936e-05,4.660936e-05,,,1143409761883.44,38965425705.7498,38965425705.7498,,,2.5m,Imaging camera,3585.0,A,modelled datum,2007SDSS6.C...0000:
44,V (USNO),16.249,,,mag,739999980978176.0,0.001206,,,,,892439977059.68,,,,,Schmidt,PMM,4050.0,A,integrated from scans,2015ApJ...810...14A
45,g (SDSS PSF) AB,15.898,0.013,0.013,asinh mag,616999969000000.0,0.001587911,1.901276e-05,1.901276e-05,,,979741037774.759,11730872330.6044,11730872330.6044,,,2.5m,Imaging camera,4858.0,A,modelled datum,2007SDSS6.C...0000:
46,r (SDSS PSF) AB,16.101,0.026,0.026,asinh mag,477000007000000.0,0.001317123,3.1541e-05,3.1541e-05,,,628267680219.861,15045057220.787,15045057220.787,,,2.5m,Imaging camera,6290.0,A,modelled datum,2007SDSS6.C...0000:
47,i (SDSS PSF) AB,16.117,0.028,0.028,asinh mag,388999986000000.0,0.001297855,3.347034e-05,3.347034e-05,,,504865576830.03,13019961791.4152,13019961791.4152,,,2.5m,Imaging camera,7706.0,A,modelled datum,2007SDSS6.C...0000:
48,z (SDSS PSF) AB,15.865,0.025,0.025,asinh mag,325000008000000.0,0.001607157,3.700636e-05,3.700636e-05,,,522326037857.256,12027067296.0509,12027067296.0509,,,2.5m,Imaging camera,9222.0,A,modelled datum,2007SDSS6.C...0000:
49,J (2MASS/FLWO),14.899,0.056,0.056,mag,242746929554656.0,0.00174939675682772,9.02302216256816e-05,9.02302216256816e-05,,,424660691292.802,21903109252.6703,21903109252.6703,,,1.3m,256x256 NICMOS3,1.235,microns,flux in fixed aperture,2006AJ....131.1163S
50,J (2MASS/FLWO),14.924,0.036,0.036,mag,242746929554656.0,0.00170957562499143,5.6684784232098e-05,5.6684784232098e-05,,,414994233808.151,13760057324.81,13760057324.81,,,1.3m,256x256 NICMOS3,1.235,microns,flux in fixed aperture,2006AJ....131.1163S
51,H (2MASS/FLWO),13.998,0.039,0.039,mag,180380540312876.0,0.0025769141878934,9.25636014415038e-05,9.25636014415038e-05,,,464825173552.128,16696672441.3242,16696672441.3242,,,1.3m,256x256 NICMOS3,1.662,microns,flux in fixed aperture,2006AJ....131.1163S
52,H (2MASS/FLWO),14.031,0.065,0.065,mag,180380540312876.0,0.0024997694526002,0.000149654228814457,0.000149654228814457,,,450909764517.646,26994710653.6585,26994710653.6585,,,1.3m,256x256 NICMOS3,1.662,microns,flux in fixed aperture,2006AJ....131.1163S
53,K_s (2MASS/FLWO),13.071,0.027,0.027,mag,138857090319592.0,0.0039409016001171,9.8002021795769e-05,9.8002021795769e-05,,,547222129428.087,13608275591.9978,13608275591.9978,,,1.3m,256x256 NICMOS3,2.159,microns,flux in fixed aperture,2006AJ....131.1163S
54,K_s (2MASS/FLWO),13.091,0.022,0.022,mag,138857090319592.0,0.00386897203955914,7.83960086227968e-05,7.83960086227968e-05,,,537234199941.041,10885841650.0312,10885841650.0312,,,1.3m,256x256 NICMOS3,2.159,microns,flux in fixed aperture,2006AJ....131.1163S
55,W1 (WISE),10.716,0.006,0.006,mag,89420884686512.0,0.0160072518608017,8.84593428347596e-05,8.84593428347596e-05,,,1431382622792.7,7910112695.07167,7910112695.07167,,,WISE,1024x1024 pixel detector array,3.3526,microns,flux in fixed aperture,2013wise.rept....1C
